Geneid	healthy1	healthy2	healthy3	patient1	patient2	patient3	patient4	patient5	patient6
ENSG00000223972	9	4	0	20	1	0	20	11	1
ENSG00000227232	135	191	71	85	95	75	202	130	158
ENSG00000278267	13	7	3	5	5	1	3	15	0
ENSG00000243485	0	0	0	0	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0	0	0	0
ENSG00000237613	2	0	0	0	4	0	2	0	0
ENSG00000268020	0	0	0	0	0	0	24	0	0
ENSG00000240361	0	0	0	0	0	0	12	0	0
ENSG00000186092	0	0	0	0	0	0	24	0	0
ENSG00000238009	3	8	2	1	21	0	0	6	0
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	6	9	14	50	4	2	50	10	0
ENSG00000268903	68	49	47	273	59	80	29	66	33
ENSG00000269981	36	57	45	146	51	0	39	43	21
ENSG00000239906	4	13	10	27	21	10	8	15	10
ENSG00000241860	26	37	35	23	67	43	65	22	14
ENSG00000222623	9	6	0	11	0	0	0	9	0
ENSG00000241599	3	0	0	0	0	0	0	0	0
ENSG00000279928	28	6	4	1	4	8	26	19	0
ENSG00000279457	285	197	123	229	244	129	138	181	145
ENSG00000273874	1	0	0	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0	0	0	0
ENSG00000228463	35	47	36	0	68	32	49	73	2
ENSG00000241670	0	0	0	0	0	0	0	0	0
ENSG00000236679	1	1	2	0	3	7	0	0	1
ENSG00000236743	1	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	24	79	53	114	58	53	39	77	77
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	2	2
ENSG00000250575	8	6	2	12	12	2	3	12	11
ENSG00000278757	1	0	0	0	7	0	0	0	0
ENSG00000231709	0	7	0	0	7	0	0	5	0
ENSG00000235146	0	0	0	0	0	0	6	5	0
ENSG00000239664	0	0	0	0	0	0	0	0	0
ENSG00000230021	3	4	7	2	8	2	16	5	0
ENSG00000223659	8	0	0	0	18	0	5	17	0
ENSG00000225972	37	50	26	68	26	34	68	70	118
ENSG00000225630	4179	3754	3866	7039	4089	5967	434	4418	7261
ENSG00000276171	120	118	120	204	92	125	131	108	229
ENSG00000237973	1508	1512	1485	1934	7244	1180	1305	986	2759
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	98	85	88	79	99	97	128	59	199
ENSG00000240409	18	19	17	20	20	27	25	18	40
ENSG00000248527	17131	13515	16102	25637	17535	19919	20610	14801	30792
ENSG00000198744	131	165	117	195	176	152	189	154	1248
ENSG00000268663	1	0	0	0	0	0	0	0	0
ENSG00000273547	0	0	0	0	0	0	0	0	0
ENSG00000229376	2	0	0	0	1	0	1	18	2
ENSG00000224956	7	1	0	1	9	3	14	25	1
ENSG00000235373	20	24	19	3	20	0	3	12	10
ENSG00000223181	15	5	0	0	0	0	0	1	0
ENSG00000240618	0	2	4	0	6	6	10	12	6
ENSG00000229905	0	1	0	0	1	0	0	0	0
ENSG00000228327	90	191	258	149	74	97	56	121	21
ENSG00000237491	393	419	521	101	109	87	221	371	106
ENSG00000230092	96	90	159	229	124	260	123	209	202
ENSG00000177757	51	89	89	43	81	38	57	266	13
ENSG00000228794	379	174	227	225	319	107	419	444	295
ENSG00000225880	86	173	191	111	71	52	127	193	169
ENSG00000230368	19	10	16	1	50	31	17	45	15
ENSG00000234711	25	0	1	0	30	21	14	0	0
ENSG00000272438	10	0	6	0	2	0	23	13	0
ENSG00000230699	50	15	10	0	25	0	64	37	6
ENSG00000241180	2	0	0	0	0	0	0	6	0
ENSG00000223764	69	7	41	0	20	44	129	65	65
ENSG00000187634	69	20	31	0	24	35	63	61	0
ENSG00000188976	1479	1715	1334	2587	1934	1690	2076	1835	2468
ENSG00000187961	235	237	223	293	193	162	346	170	121
ENSG00000277294	0	0	0	0	0	0	0	0	0
ENSG00000187583	125	69	106	147	44	109	248	34	16
ENSG00000187642	110	34	30	6	24	70	172	23	24
ENSG00000272512	45	14	12	7	20	40	97	61	24
ENSG00000188290	61	58	83	324	38	261	271	317	468
ENSG00000187608	560	594	545	2989	746	2153	1714	1133	1547
ENSG00000231702	0	1	0	0	22	0	0	0	0
ENSG00000224969	2	4	8	0	0	0	2	9	0
ENSG00000188157	430	216	317	724	317	561	1031	446	282
ENSG00000242590	0	0	0	0	0	0	0	0	0
ENSG00000217801	60	20	25	24	75	19	57	45	28
ENSG00000273443	7	5	10	0	0	29	14	19	0
ENSG00000237330	11	6	4	2	6	14	24	0	6
ENSG00000131591	381	365	378	329	260	425	609	402	395
ENSG00000223823	78	15	10	0	19	22	152	22	3
ENSG00000207730	2	1	5	0	0	0	0	0	0
ENSG00000207607	3	2	0	0	2	0	10	0	0
ENSG00000198976	2	0	2	0	3	0	0	0	0
ENSG00000272141	29	14	2	0	0	0	25	14	0
ENSG00000205231	33	0	16	0	16	41	97	20	36
ENSG00000162571	41	17	51	0	29	10	68	13	0
ENSG00000186891	65	16	43	0	31	14	49	22	3
ENSG00000186827	62	15	19	0	43	75	27	43	38
ENSG00000078808	2962	2647	2379	7511	4430	4745	4140	3716	6033
ENSG00000176022	420	357	372	1060	370	485	451	355	398
ENSG00000184163	46	20	35	5	25	31	11	14	32
ENSG00000260179	16	10	5	0	61	0	10	32	4
ENSG00000160087	1305	1405	1464	3064	1353	1535	1808	1283	2141
ENSG00000230415	26	13	5	24	12	0	10	4	1
ENSG00000162572	146	87	96	38	94	159	122	86	32
ENSG00000131584	1902	1605	1787	2680	1495	1317	1668	1881	1560
ENSG00000278073	0	0	0	0	0	0	0	1	0
ENSG00000169972	249	252	151	563	251	217	165	325	126
ENSG00000127054	2453	2589	2250	4979	2395	1933	2229	1991	2884
ENSG00000274153	0	0	0	0	0	0	0	0	0
ENSG00000240731	37	24	56	17	41	41	13	3	4
ENSG00000224051	270	325	284	632	324	168	313	304	365
ENSG00000169962	138	79	63	48	23	20	169	18	2
ENSG00000107404	674	662	588	1482	600	872	846	813	925
ENSG00000275884	0	0	0	0	0	0	0	0	0
ENSG00000162576	182	129	161	98	49	55	118	10	59
ENSG00000175756	1068	1044	1003	3448	1843	1951	1758	2016	2164
ENSG00000223663	5	2	0	0	0	5	6	14	0
ENSG00000221978	4278	4170	4015	2605	1502	1272	2480	2046	1376
ENSG00000224870	371	346	261	319	233	151	340	297	224
